TRIAL PROJECT,,,,,,,,,,Clasic Schedule Layout,,,,,,,,,,,,,23-Sep-13 14:5,,,,,,,,,,,,
Activity ID,,,,,,,,Activity Name,"Original
Duration",,Start,Finish,Total FloaQt,"tr 3, 2013",,"Qtr 4, 2013",,,,,"Qtr 1, 2014",,,,"Qtr 2, 2014",,,"Qtr 3, 2014",,,"Qtr 4, 2014",,,"Qtr 1, 2015",
,,,,,,,1st flor,,15,,09-Sep-13,30-Sep-13,97,,,,,,,,,,,,,,,,,,,,,,
,,,,,1490,,,1ST COL. SHOPDRAWING SUBMITAL,5,,09-Sep-13,16-Sep-13,36,,,,,,,,,,,,,,,,,,,,,,
,,,,,150,,,1ST COL SHOPDRAWING APROVAL,5,,16-Sep-13,23-Sep-13,95,,,"1ST COL
1ST SLA
1ST S
2ND C",,"SHOPD
B. SHO
LAB SHO
2-Oct-1
OL. SHO",,"RAWIN
PDRAWI
PDRAW
3, 2nd flo
PDRAW","G APRO
NG SUB
ING AP
or
ING SUB","VAL
MITAL
ROVAL
MITAL",,,,,,,,,,,,,
,,,,,1780,,,1ST SLAB. SHOPDRAWING SUBMITAL,5,,16-Sep-13,23-Sep-13,36,,,,,,,,,,,,,,,,,,,,,,
,,,,,1790,,,1ST SLAB SHOPDRAWING APROVAL,5,,23-Sep-13,30-Sep-13,97,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2nd flor,,20,,23-Sep-13,2-Oct-13,108,,,,,,,,,,,,,,,,,,,,,,
,,,,,1510,,,2ND COL. SHOPDRAWING SUBMITAL,5,,23-Sep-13,30-Sep-13,36,,,,,,,,,,,,,,,,,,,,,,
,,,,,1520,,,2ND COL SHOPDRAWING APROVAL,5,,01-Oct-13,08-Oct-13,36,,,,,"COL SH
D SLAB
2ND SLA
06-N
3RD CO",,"OPDRA
. SHOPD
B SHOP
ov-13, 3r
L. SHOP","WING AP
RAWING
DRAWIN
d flor
DRAWIN","PROVA
SUBM
G AP
G SUB",,"L
ITAL
ROVAL
MITAL",,,,,,,,,,,
,,,,,180,,,2ND SLAB. SHOPDRAWING SUBMITAL,5,,08-Oct-13,15-Oct-13,36,,,,,,,,,,,,,,,,,,,,,,
,,,,,1810,,,2ND SLAB SHOPDRAWING APROVAL,5,,15-Oct-13,2-Oct-13,108,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3rd flor,,15,,15-Oct-13,06-Nov-13,124,,,,,,,,,,,,,,,,,,,,,,
,,,,,1530,,,3RD COL. SHOPDRAWING SUBMITAL,5,,15-Oct-13,2-Oct-13,36,,,,,,,,,,,,,,,,,,,,,,
,,,,,1540,,,3RD CO. SHOPDRAWING APROVAL,5,,2-Oct-13,29-Oct-13,12,,,,,"3RD C
3RD S
3RD
2
RO",,"O. SHOP
LAB. SH
SLAB S
0-Nov-1
F COL.","DRAWIN
OPDRAW
HOPDRA
3, rof flo
SHOPDR","G AP
ING SU
WING A
or
AWING",,"ROVAL
BMITAL
PROV
SUBMIT","AL
AL",,,,,,,,,,
,,,,,1820,,,3RD SLAB. SHOPDRAWING SUBMITAL,5,,2-Oct-13,29-Oct-13,36,,,,,,,,,,,,,,,,,,,,,,
,,,,,1830,,,3RD SLAB SHOPDRAWING APROVAL,5,,30-Oct-13,06-Nov-13,124,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,rof flor,,15,,30-Oct-13,20-Nov-13,143,,,,,,,,,,,,,,,,,,,,,,
,,,,,150,,,ROF COL. SHOPDRAWING SUBMITAL,5,,30-Oct-13,06-Nov-13,36,,,,,,,,,,,,,,,,,,,,,,
,,,,,1560,,,ROF COL. SHOPDRAWING APROVAL,5,,06-Nov-13,13-Nov-13,148,,,,,"RO
RO
R",,"OF COL
OF SLA
OF SL",". SHOPD
B SHOP
AB SHO
2
ec-13, ba","RAWIN
DRAWIN
PDRAW
0-Jan-1
sement",,"G APR
G SUBM
ING AP
4, arch s
flor","OVAL
ITAL
PROVAL
hopdrwai",ng,,,,,,,,,
,,,,,1840,,,ROF SLAB SHOPDRAWING SUBMITAL,5,,06-Nov-13,13-Nov-13,36,,,,,,,,,,,,,,,,,,,,,,
,,,,,1850,,,ROF SLAB SHOPDRAWING APROVAL,5,,13-Nov-13,20-Nov-13,36,,,,,,,,,,,,,,,,,,,,,,
,,,,,,arch shopdrw,,aing,40,,20-Nov-13,20-Jan-14,13,,,,,,,07-D,,,,,,,,,,,,,,,
,,,,,,,basement fl,or,10,,20-Nov-13,07-Dec-13,36,,,,,,,,,,,,,,,,,,,,,,
,,,,,1860,,,B.MASONARY SHOPDRAWING SUBMITAL,5,,20-Nov-13,27-Nov-13,36,,,,,,,"B.MAS
B.MA
14-
GR.
GR","ONARY S
SONAR
Dec-13,
MASONA
.MASON","HOPD
Y SHOP
ground
RY SHO
ARY S",,"RAWING
DRAWI
flor
PDRAW
HOPDRA","SUBMIT
NG AP
ING SU
WING A","AL
ROVAL
BMITAL
PROVA",L,,,,,,,,
,,,,,1870,,,B.MASONARY SHOPDRAWING APROVAL,5,,30-Nov-13,07-Dec-13,36,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ground flo,r,10,,30-Nov-13,14-Dec-13,39,,,,,,,,,,,,,,,,,,,,,,
,,,,,180,,,GR.MASONARY SHOPDRAWING SUBMITAL,5,,30-Nov-13,07-Dec-13,39,,,,,,,,,,,,,,,,,,,,,,
,,,,,1890,,,GR.MASONARY SHOPDRAWING APROVAL,5,,07-Dec-13,14-Dec-13,39,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1st flor,,10,,07-Dec-13,21-Dec-13,68,,,,,,,2,1-Dec-1,"3, 1st flo",,or,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Actual Level of Efort Remaining Work Milestone
Actual Work Critical Remaining Work sumary",,,,,,,,,,Page 1 of 6,,,,,,,,,,,,,"TASK filter: Al Activities
Resource Profile Filter:E01.excavator",,,,,,,,,,,,
